2024-01-30 00:02:38.895 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-01-30 00:02:39.141 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-01-30 00:02:39.897 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect finish
2024-01-30 00:02:39.906 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - begin listen stop loss: {GTLS=StopLoss(stock=GTLS, canSellQty=12.0, lossPrice=105.099)}
2024-01-30 00:02:41.141 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - closing websocket. reason=CloseReason[1006,Closed abnormally.]
2024-01-30 00:02:51.143 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect websocket
2024-01-30 00:02:52.044 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - opening websocket
2024-01-30 00:02:52.048 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-01-30 00:02:52.295 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-01-30 00:02:53.048 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect finish
2024-01-30 00:02:53.054 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - begin listen stop loss: {GTLS=StopLoss(stock=GTLS, canSellQty=12.0, lossPrice=105.099)}
2024-01-30 00:02:54.515 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - closing websocket. reason=CloseReason[1006,Closed abnormally.]
2024-01-30 00:03:04.520 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect websocket
2024-01-30 00:03:05.424 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - opening websocket
2024-01-30 00:03:05.433 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-01-30 00:03:05.674 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-01-30 00:03:06.304 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - closing websocket. reason=CloseReason[1006,Closed abnormally.]
2024-01-30 00:03:06.435 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect finish
2024-01-30 00:03:06.439 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - begin listen stop loss: {GTLS=StopLoss(stock=GTLS, canSellQty=12.0, lossPrice=105.099)}
2024-01-30 00:03:16.310 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect websocket
2024-01-30 00:03:17.261 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - opening websocket
2024-01-30 00:03:17.272 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-01-30 00:03:17.510 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-01-30 00:03:18.265 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect finish
2024-01-30 00:03:18.268 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - begin listen stop loss: {GTLS=StopLoss(stock=GTLS, canSellQty=12.0, lossPrice=105.099)}
2024-01-30 00:03:22.351 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - closing websocket. reason=CloseReason[1006,Closed abnormally.]
2024-01-30 00:03:32.355 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect websocket
2024-01-30 00:03:33.206 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - opening websocket
2024-01-30 00:03:33.209 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-01-30 00:03:33.438 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-01-30 00:03:34.210 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect finish
2024-01-30 00:03:34.215 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - begin listen stop loss: {GTLS=StopLoss(stock=GTLS, canSellQty=12.0, lossPrice=105.099)}
2024-01-30 00:03:38.450 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - closing websocket. reason=CloseReason[1006,Closed abnormally.]
2024-01-30 00:03:48.454 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect websocket
