ticker='CNTB', name='Connect Biopharma Holdings Limited American Depositary Shares', type=ADRC, active='true', cik='0001835268', composite_figi='BBG00ZGYNJ49'
ticker='CRESY', name='Cresud SA', type=ADRC, active='true', cik='0000887023', composite_figi='BBG000J4MRP9'
ticker='CRTO', name='Criteo S.A.', type=ADRC, active='true', cik='0001576427', composite_figi='BBG005938P44'
ticker='CYAD', name='Celyad Oncology SA American Depositary Shares', type=ADRC, active='true', cik='0001637890', composite_figi='BBG008QQ53D0'
ticker='DADA', name='Dada Nexus Limited American Depositary Shares', type=ADRC, active='true', cik='0001793862', composite_figi='BBG00TSYD7Q3'
ticker='DDI', name='DoubleDown Interactive Co., Ltd. American Depository Shares', type=ADRC, active='true', cik='0001799567', composite_figi='BBG00V782XX5'
ticker='DOYU', name='DouYu International Holdings Limited ADS', type=ADRC, active='true', cik='0001762417', composite_figi='BBG00NZ6JPK9'
ticker='DUO', name='Fangdd Network Group Ltd. American Depositary Shares', type=ADRC, active='true', cik='0001750593', composite_figi='BBG00QJ90L78'
ticker='EDAP', name='EDAP TMS SA', type=ADRC, active='true', cik='0001041934', composite_figi='BBG000C2CL29'
ticker='EH', name='EHang Holdings Limited ADS', type=ADRC, active='true', cik='0001759783', composite_figi='BBG00QRFRQC9'
ticker='EM', name='Smart Share Global Limited American Depositary Shares', type=ADRC, active='true', cik='0001834253', composite_figi='BBG00ZMZ5175'
ticker='ERIC', name='Ericsson American Depositary Shares', type=ADRC, active='true', cik='0000717826', composite_figi='BBG000BB0QF8'
ticker='ERYP', name='Erytech Pharma S.A. American Depositary Shares', type=ADRC, active='true', cik='0001624422', composite_figi='BBG007V968N1'
ticker='EVAX', name='Evaxion Biotech A/S American Depositary Share', type=ADRC, active='true', cik='0001828253', composite_figi='BBG00YTSS733'
ticker='EVO', name='Evotec SE American Depositary Shares', type=ADRC, active='true', cik='0001412558', composite_figi='BBG000LFTJ81'
ticker='EXAI', name='Exscientia Plc American Depositary Shares', type=ADRC, active='true', cik='0001865408', composite_figi='BBG012GMTXM0'
ticker='FANH', name='Fanhua Inc. American Depositary Shares', type=ADRC, active='true', cik='0001413855', composite_figi='BBG000TJXWP2'
ticker='FITBI', name='Fifth Third Bancorp Depositary Shares', type=ADRC, active='true', cik='0000035527', composite_figi='null'
ticker='FLJ', name='FLJ Group Limited American Depositary Shares', type=ADRC, active='true', cik='0001769256', composite_figi='BBG00QJ13PK8'
ticker='FORTY', name='Formula Systems 1985 Ltd', type=ADRC, active='true', cik='0001045986', composite_figi='BBG000JLM9R9'
ticker='FRLN', name='Freeline Therapeutics Holdings plc American Depositary Shares', type=ADRC, active='true', cik='0001810031', composite_figi='BBG00W5FT4Q2'
ticker='FRSX', name='Foresight Autonomous Holdings Ltd. American Depositary Shares', type=ADRC, active='true', cik='0001691221', composite_figi='BBG00GXL7WB1'
ticker='FUTU', name='Futu Holdings Limited American Depositary Shares', type=ADRC, active='true', cik='0001754581', composite_figi='BBG00MYXW4R8'
ticker='GDS', name='GDS Holdings Limited ADS', type=ADRC, active='true', cik='0001526125', composite_figi='BBG00DYK7TL5'
ticker='GENE', name='Genetic Technologies Ltd.', type=ADRC, active='true', cik='0001166272', composite_figi='BBG000P9PKY3'
ticker='GET', name='Getnet Adquirencia e Servicos para Meios de Pagamento S.A. American Depositary Shares', type=ADRC, active='true', cik='0001867325', composite_figi='BBG012X4CWP8'
ticker='GGAL', name='Grupo Financiero Galicia SA', type=ADRC, active='true', cik='0001114700', composite_figi='BBG000F646H3'
ticker='GLPG', name='Galapagos NV', type=ADRC, active='true', cik='0001421876', composite_figi='BBG000BJQY75'
ticker='GMAB', name='Genmab A/S ADS', type=ADRC, active='true', cik='0001434265', composite_figi='BBG004MPKM64'
ticker='GNFT', name='GENFIT S.A. American Depositary Shares', type=ADRC, active='true', cik='0001757064', composite_figi='BBG00NLFGCR9'
ticker='GNTA', name='Genenta Science S.p.A. American Depositary Shares', type=ADRC, active='true', cik='0001838716', composite_figi='BBG013GNLJL6'
ticker='GPCR', name='Structure Therapeutics Inc. American Depositary Shares', type=ADRC, active='true', cik='0001888886', composite_figi='BBG01CBVHLW1'
ticker='GRCL', name='Gracell Biotechnologies Inc. American Depositary Shares', type=ADRC, active='true', cik='0001826492', composite_figi='BBG00YM43758'
ticker='GRFS', name='Grifois, S.A.', type=ADRC, active='true', cik='0001438569', composite_figi='BBG001QMCKF6'
ticker='GRVY', name='GRAVITY Co., Ltd.', type=ADRC, active='true', cik='0001313310', composite_figi='BBG000QSHJR0'
ticker='GTH', name='Genetron Holdings Limited ADS', type=ADRC, active='true', cik='0001782594', composite_figi='BBG00QYN2N92'
ticker='HCM', name='HUTCHMED (China) Limited American Depositary Shares', type=ADRC, active='true', cik='0001648257', composite_figi='BBG00B6VCGJ1'
ticker='HEPS', name='D-Market Electronic Services & Trading American Depositary Shares', type=ADRC, active='true', cik='0001850235', composite_figi='BBG0118LTKW0'
ticker='HHR', name='HeadHunter Group PLC American Depositary Shares', type=ADRC, active='true', cik='0001721181', composite_figi='BBG00KHGQ0H4'
ticker='HIMX', name='Himax Technologies, Inc.', type=ADRC, active='true', cik='0001342338', composite_figi='BBG000R01RJ8'
ticker='HTHT', name='H World Group Limited American Depositary Shares', type=ADRC, active='true', cik='0001483994', composite_figi='BBG000QFPM65'
ticker='HUIZ', name='Huize Holding Limited American Depositary Shares', type=ADRC, active='true', cik='0001778982', composite_figi='BBG00Q5M64J3'
ticker='HYW', name='Hywin Holdings Ltd. American Depositary Shares', type=ADRC, active='true', cik='0001785680', composite_figi='BBG00ZGYGYD4'
ticker='ICLK', name='iClick Interactive Asia Group Limited', type=ADRC, active='true', cik='0001697818', composite_figi='BBG00J0BKBX0'
ticker='IDBA', name='IDEX Biometrics ASA American Depositary Shares', type=ADRC, active='true', cik='0001824036', composite_figi='BBG00ZGXQVY8'
ticker='ILAG', name='Intelligent Living Application Group Inc. Ordinary Shares', type=ADRC, active='true', cik='0001814963', composite_figi='null'
ticker='IMAB', name='I-MAB American Depositary Shares', type=ADRC, active='true', cik='0001778016', composite_figi='BBG00QQ8DFK6'
ticker='IMCR', name='Immunocore Holdings plc American Depositary Shares', type=ADRC, active='true', cik='0001671927', composite_figi='BBG00YYCXFB9'
ticker='IMMP', name='Immutep Limited American Depositary Shares', type=ADRC, active='true', cik='0001506184', composite_figi='BBG002WD6SY6'
ticker='IMOS', name='ChipMOS TECHNOLOGIES INC', type=ADRC, active='true', cik='0001123134', composite_figi='BBG00DQ1N399'
ticker='IMRN', name='Immuron Limited American Depositary Shares', type=ADRC, active='true', cik='0001660046', composite_figi='BBG000LZD9X8'
ticker='IONR', name='ioneer Ltd American Depositary Shares', type=ADRC, active='true', cik='0001896084', composite_figi='BBG018KPNRB6'
ticker='IPHA', name='Innate Pharma S.A. ADS', type=ADRC, active='true', cik='0001598599', composite_figi='BBG009ZCBVG7'
ticker='IPX', name='IperionX Limited American Depositary Share', type=ADRC, active='true', cik='0001898601', composite_figi='BBG0188WZ502'
ticker='IQ', name='iQIYI, Inc. American Depositary Shares', type=ADRC, active='true', cik='0001722608', composite_figi='BBG00K6DZBD3'
ticker='IVA', name='Inventiva S.A. American Depository Shares', type=ADRC, active='true', cik='0001756594', composite_figi='BBG00VM4C335'
ticker='IXHL', name='Incannex Healthcare Limited American Depositary Shares', type=ADRC, active='true', cik='0001873875', composite_figi='BBG0125CL1D2'
ticker='JD', name='JD.com, Inc.', type=ADRC, active='true', cik='0001549802', composite_figi='BBG005YHY0Q7'
ticker='JFIN', name='Jiayin Group Inc. American Depositary Shares', type=ADRC, active='true', cik='0001743102', composite_figi='BBG00MV5JPY2'
ticker='JFU', name='9F Inc. American Depositary Shares', type=ADRC, active='true', cik='0001619544', composite_figi='BBG00JH7WJL4'
